layer,refusal_rate,refusals,total_samples,model,dataset,input_source,run_dir,results_jsonl,summary_json
0,0.863621,5009,5800,meta-llama/Llama-2-7b-chat-hf,jailbroken_harmbench_Llama-2-7b,/disk/solidlab-server/lclhome/mmia001/jslm/Data/Eval/harmbench/llama/jailbroken_harmbench_Llama-2-7b.jsonl,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer0,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer0/results.jsonl,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer0/summary.json
1,0.88569,5137,5800,meta-llama/Llama-2-7b-chat-hf,jailbroken_harmbench_Llama-2-7b,/disk/solidlab-server/lclhome/mmia001/jslm/Data/Eval/harmbench/llama/jailbroken_harmbench_Llama-2-7b.jsonl,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer1,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer1/results.jsonl,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer1/summary.json
2,0.869655,5044,5800,meta-llama/Llama-2-7b-chat-hf,jailbroken_harmbench_Llama-2-7b,/disk/solidlab-server/lclhome/mmia001/jslm/Data/Eval/harmbench/llama/jailbroken_harmbench_Llama-2-7b.jsonl,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer2,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer2/results.jsonl,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer2/summary.json
3,0.847759,4917,5800,meta-llama/Llama-2-7b-chat-hf,jailbroken_harmbench_Llama-2-7b,/disk/solidlab-server/lclhome/mmia001/jslm/Data/Eval/harmbench/llama/jailbroken_harmbench_Llama-2-7b.jsonl,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer3,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer3/results.jsonl,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer3/summary.json
4,0.861379,4996,5800,meta-llama/Llama-2-7b-chat-hf,jailbroken_harmbench_Llama-2-7b,/disk/solidlab-server/lclhome/mmia001/jslm/Data/Eval/harmbench/llama/jailbroken_harmbench_Llama-2-7b.jsonl,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer4,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer4/results.jsonl,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer4/summary.json
5,0.897759,5207,5800,meta-llama/Llama-2-7b-chat-hf,jailbroken_harmbench_Llama-2-7b,/disk/solidlab-server/lclhome/mmia001/jslm/Data/Eval/harmbench/llama/jailbroken_harmbench_Llama-2-7b.jsonl,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer5,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer5/results.jsonl,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer5/summary.json
6,0.92569,5369,5800,meta-llama/Llama-2-7b-chat-hf,jailbroken_harmbench_Llama-2-7b,/disk/solidlab-server/lclhome/mmia001/jslm/Data/Eval/harmbench/llama/jailbroken_harmbench_Llama-2-7b.jsonl,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer6,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer6/results.jsonl,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer6/summary.json
7,0.932586,5409,5800,meta-llama/Llama-2-7b-chat-hf,jailbroken_harmbench_Llama-2-7b,/disk/solidlab-server/lclhome/mmia001/jslm/Data/Eval/harmbench/llama/jailbroken_harmbench_Llama-2-7b.jsonl,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer7,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer7/results.jsonl,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer7/summary.json
8,0.964655,5595,5800,meta-llama/Llama-2-7b-chat-hf,jailbroken_harmbench_Llama-2-7b,/disk/solidlab-server/lclhome/mmia001/jslm/Data/Eval/harmbench/llama/jailbroken_harmbench_Llama-2-7b.jsonl,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer8,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer8/results.jsonl,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer8/summary.json
9,0.979655,5682,5800,meta-llama/Llama-2-7b-chat-hf,jailbroken_harmbench_Llama-2-7b,/disk/solidlab-server/lclhome/mmia001/jslm/Data/Eval/harmbench/llama/jailbroken_harmbench_Llama-2-7b.jsonl,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer9,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer9/results.jsonl,./outputs/llama_jailbroken/meta-llama-Llama-2-7b-chat-hf_jailbroken_harmbench_Llama-2-7b_layer9/summary.json
